Identifier,Title,Description,Validation of Goal,Possible Solution,Date of Creation,Creator,Origination Institute,External,Responsibility,Target Service,Req. Type,Parent Requirement,Benefit of Requirement
1,Need 1: Addressing and contacting research participants,"First, for researchers with a local or regional focus (e.g., conducting local case studies), the selection of case regions and the establishment of contact with potential research participants is a time-consuming step in the research process. Second, due to topical trends, there is a risk of over-researching certain regions, which may lead to a decreased willingness of local actors to cooperate with scientists.",,Register for potential research participants or stakeholders,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,,,functional,,medium
2,Need 2: Enhance science communication,It is challenging for researchers to prepare their scientific findings for non-scientists. This includes reaching out to specific target groups (e.g. the public or politicians) and demonstrating the everyday relevance of their findings.,,Science Communication Hub,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 2,,functional,,medium
3,"Need 3: Documentation of empirical research, overview of current and past research projects
and researchers","It is challenging for researchers to find out which topics have already been researched in which regions and using which methods. It is also difficult to obtain low-threshold information on participating institutions, contact persons and contact options for research projects.",,Interactive geographical map,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 8,Competence Service,functional,,medium
4,Need 4: Enhance findability of scientific data,"It is a challenge for researchers to obtain data in general and in sufficient depth. This data has to be collected from different sources. Access to data is also made more difficult by the fact that it is restricted, for example because only certain groups of people have access, it is behind payment barriers or is not publicly available at all. Access to transnational data is difficult. Foreign languages also make access complicated. In addition, existing databases are cluttered. The lack of availability of data is a decisive factor in research taking place.",,Federated search,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 4,,functional,,high
5,Need 5: Successful communication and collaboration in inter- and transdisciplinary contexts,"In inter- and transdisciplinary contexts, researchers face the challenge of communicating clearly with researchers from other disciplines (and possibly non-researchers, e.g. stakeholders). Possibilities include developing a common vocabulary or having “translators” at the interfaces. This also includes being able to anticipate and abstract the required scope of knowledge from one's own discipline for other disciplines, both in terms of content and methodological aspects, an open-mindedness.",,Inter- and Transdisciplinary Academy,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,,,functional,,high
6,"Need 6: Find, network and exchange with researchers","Despite the growing recognition of the importance of interdisciplinary research, many researchers face challenges in establishing and maintaining meaningful connections with colleagues from other disciplines. While there are some existing platforms and initiatives that facilitate interdisciplinary exchange, they may not be widely known or utilized, and may not be tailored to the specific needs of different research communities. Furthermore, institutional and systemic barriers, such as lack of funding, time, and resources, can hinder the ability of researchers to engage in interdisciplinary collaboration. To address these challenges, there is a need for more targeted and inclusive exchange formats, as well as digital forums that can facilitate the sharing of ideas and expertise across disciplines.
",,"Networking Section
a) Researcher Profiling and Directory
b) Profiles for Internal Project Groups",2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 7,,functional,,medium
7,Need 7: Context information on existing data,"It is challenging for researchers to have sufficient context for existing data. It is unclear where data comes from, how it was generated and which contextual factors played a role (e.g. goal and relevance of the research project, preliminary assumptions, survey period, data collection process, sampling, information on participants, input data used, comparative data used, uncertainties in data, corrections (due to technical reasons) of changed data). This challenge is associated with the obstacle of finding the primary source of data.",,Metadata standard,2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 4,,functional,,high
8,Need 8: Reputation for shared data sets,"Researchers feel that they receive too little reputation for uploading data, especially when measured in relation to the effort required to process the data accordingly. At the same time, there are different ideas about how reputation can look (e.g. being named as a co-author when using the data, naming the researchers (and not just naming the project), citing the dataset).",,"Researcher Attribution System,
DOI Assignment for Datasets,
Co-authorship License,
Dataset Impact Visualization,
User Feedback and Interaction Tool,
Data Preparation Acknowledgment Badge,
Usage Probability Estimator",2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 1,,non-functional,,medium
9,Need 9: Time-saving and uncomplicated data processing,"For researchers, preparing their own data for use by others is challenging for a number of reasons. First, it is perceived as extra work, time consuming and does not necessarily bring benefits to the researchers themselves. Secondly, comprehensible documentation as a step in data processing is not implemented organically in the work process. This process also requires researchers to know what information must be available in prepared data. Thirdly, data processing sometimes means not just a single effort, but maintenance over time. That is why data processing is often not undertaken and therefore no data is uploaded.",,"Multi-Format Data Upload,
Automated Data Conversion Tools,
Data Transformation Scripts,
Qualitative Data Tools,
Metadata Generator",2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,"Task Area 3, Task Area 4, Task Area 7",SMECS,functional,,high
10,Need 10: Increase usability of existing data,"For researchers, compiling and processing data from others for their own use is challenging for several reasons. Firstly, existing data sets lack data points that are relevant for their own research. Secondly, the scope of the existing data does not completely match their own. Thirdly, the data format must be adapted for their own research. Fourthly, data from several data sources, each with different data formats, must be combined with each other, which can lead to the above-mentioned challenges. Overall, data processing can be vulnerable to errors. Automated data processing is almost impossible due to the diversity of topics.",,"Automated Data Integration Tools,
Aggregation Suggestions,
Linkage Visualizations",2024-12-01,Nina Kerker,Sociological Research Institute Göttingen e.V.,no,Task Area 4,,functional,,high
